,CASE_NO,DECISION_DATE,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS1,AGENT_ATTORNEY_ADDRESS2,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,AGENT_ATTORNEY_POSTAL_CODE,JOB_TITLE,NBR_WORKERS_CERTIFIED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,ALIEN_WORK_CITY,ALIEN_WORK_STATE,ORGANIZATION_FLAG
10,C-08249-14729,2008-10-02 09:45:08,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-06-30 00:00:00,2008-11-01 00:00:00,2009-06-30 00:00:00,BRYAN FREDRICKSON,12440 440TH ST,,WANAMINGO,MN,55983,"SOUTHERN IMPACT, LESLI DOWNS & KRIS GOSNEY",4309 SUMMIT CT.,,SAND SPRINGS,OK,74063,GRAIN-DRIER OPERATOR,2.0,10.01,HR,WANAMINGO,MN,S
11,C-08233-14575,2008-10-02 09:47:04,2008-09-16 00:00:00,Certified - Partial,2008-11-01 00:00:00,2008-12-15 00:00:00,2008-11-01 00:00:00,2008-12-15 00:00:00,"ORNELAS HARVESTING, INC.",864 GLORIA JEAN RD.,,REIDSVILLE,GA,30453,"AGWORKS,  INC.",POST OFFICE BOX 580,408 WEST MARIAN AVENUE,LAKE PARK,GA,31636,FARMWORKER,123.0,8.53,HR,REIDSVILLE,GA,S
12,C-08234-14578,2008-10-02 09:47:29,2008-08-21 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-04-15 00:00:00,2008-11-01 00:00:00,2009-04-15 00:00:00,"J.M. MALONE & SON, INC",1156 MALONE LAKE RD,P.O. BOX 158,LONOKE,AR,72086,DAVID DONALDSON (USAMEX LTD CO.),572 STRAWBERRY ROAD,,BALD KNOB,AR,72010,FARM LABORER,8.0,8.41,HR,LONOKE,AR,S
13,C-08247-14679,2008-10-02 09:52:49,2008-09-03 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-15 00:00:00,2008-11-01 00:00:00,2009-08-15 00:00:00,"WAIKELE FARMS, INC.",P.O. BOX 667,,PEARL CITY,HI,96782,DAX B. DEASON,2500 CITY  WEST BLVD.   STE.  1000,,HOUSTON,TX,77042,GENERAL FIELDWORKER,40.0,10.86,HR,PEARL CITY,HI,S
14,C-08253-14752,2008-10-02 09:55:15,2008-09-09 00:00:00,Certified - Full,2008-10-25 00:00:00,2009-08-25 00:00:00,2008-10-25 00:00:00,2009-08-25 00:00:00,HALE & HINES NURSERY,569 HALE LANE,,MCMINNVILLE,TN,37110,"MELISSA A. GREEN, AGENT  KY. FARMERS AID, INC",3612 WEST FORK RD.,,MURRAY,KY,42071,HORT LABOR,18.0,9.13,HR,MCMINNVILLE,TN,S
15,C-08249-14705,2008-10-02 10:47:38,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,STEVE RAFTOPOULOS/RAFTOPOULOS RANCHES,893 STOUT STREET,,CRAIG,CO,81625,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O.BOX 3777,,CASPER,WY,82602,SHEEPHERDER,2.0,750.0,BI,CRAIG,CO,S
16,C-08249-14706,2008-10-02 10:56:37,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,JOHN A. HOTCHKISS/HOTCHKISS RANCHES INC,P.O.BOX 479,,HOTCHKISS,CO,81419,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O.BOX 3777,,CASPER,WY,82602,SHEEPHERDER,10.0,750.0,BI,HOTCHKISS,CO,S
17,C-08241-14641,2008-10-02 10:57:48,2008-08-28 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-04-27 00:00:00,2008-11-01 00:00:00,2009-04-27 00:00:00,"TWIN LAKES NURSERY, LTD.",300 VZ CR 4205,,CANTON,TX,75103,"MAS LABOR H2A, LLC./ELIZABETH WHITLEY",P.O. BOX 507,650 FRONT STREET,LOVINGSTON,VA,22949,HORTICULTURAL WORKER II,22.0,9.02,HR,CANTON,TX,S
18,C-08253-14753,2008-10-02 11:09:31,2008-09-09 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-31 00:00:00,2008-11-01 00:00:00,2009-08-31 00:00:00,"FRISCHE BROTHERS FERTILIZER, INC",5898 US HWY 87,,DUMAS,TX,79029,"SOUTHERN IMPACT, LESLI DOWNS",4309 SUMMIT CT,,SAND SPRINGS,OK,74063,"FARMWORKER, GENERAL I",8.0,9.02,HR,DUMAS,TX,S
19,C-08249-14699,2008-10-02 11:27:43,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,HENRY C. VOGLER/NEED MORE SHEEP CO.,"HC 33, BOX 33920",,ELY,NV,89301,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O.BOX 3777,,CASPER,WY,82602,SHEEPHERDER,4.0,875.0,BI,ELY,NV,S
20,C-08249-14713,2008-10-02 11:31:24,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,HORSE SHOE SHEEP CO/MATTHEW PHILLIPS,617 NORTH 1200 WEST,,BLACKFOOT,ID,83221,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,SHEEPHERDER,7.0,750.0,BI,BLACKFOOT,ID,S
21,C-08254-14765,2008-10-02 11:32:43,2008-09-10 00:00:00,Certified - Full,2008-10-27 00:00:00,2009-01-23 00:00:00,2008-10-27 00:00:00,2009-01-23 00:00:00,GREEN ACRES,25455 HWY 1,PO BOX 449,MCBEE,SC,29101,"INTERNATIONAL LABOR MANAGEMENT CORP., LABOR CONSUL","SARAH E. FARRELL, VICE PRESIDENT","234 CAMERON AVENUE, PO BOX 630",VASS,NC,28394,FARMWORKER:DIVERSIFIED,20.0,8.53,HR,MCBEE,SC,S
22,C-08249-14708,2008-10-02 11:39:43,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,THEOS SWALLOW FORK RANCH/ANGELO THEOS,3676 COUNTY ROAD 47,,MEEKER,CO,81641,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,SHEEPHERDER,4.0,750.0,BI,MEEKER,CO,S
23,C-08249-14718,2008-10-02 11:42:11,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-06-01 00:00:00,2008-11-01 00:00:00,2009-06-01 00:00:00,"KENNETH G. JONES, TI RANCHES",HC 36 BOX 530,,LAMOILLE,NV,89828,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,OPEN RAGE WINTER CATTLE HERDER,1.0,1080.0,MTH,LAMOILLE,NV,S
24,C-08242-14653,2008-10-02 11:59:39,2008-08-29 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,SILVER SPUR RANCH,P.O.BOX 714,3170 WYOMING 230,ENCAMPMENT,WY,82325,,,,,,,SHEEPHERDER,2.0,750.0,WK,ENCAMPMENT,WY,S
25,C-08261-14804,2008-10-02 12:01:41,2008-09-17 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-07-01 00:00:00,2008-11-01 00:00:00,2009-07-01 00:00:00,"DUNSON HARVESTING, INC.",400 EAGLE LAKE LOOP ROAD,,WINTER HAVEN,FL,33884,WALTER KATES,FLORIDA FRUIT & VEGETABLE ASSOCIATION,"800 TRAFALGER CT., SUITE 200",MAITLAND,FL,32751,"HARVEST WORKER, FRUIT",157.0,8.82,HR,WINTER HAVEN,FL,S
26,C-08253-14740,2008-10-02 12:29:59,2008-09-09 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-07-15 00:00:00,2008-11-01 00:00:00,2009-07-15 00:00:00,"DEMAND QUALITY, LLC.",P O BOX 197,,MORSE,LA,70559,"KELLY J. COUCH, CONSULTANT",231 PECAN AVE,,NEW ROADS,LA,70760,"FARMWORKER, RICE",10.0,8.41,HR,MIDLAND,LA,S
27,C-08253-14741,2008-10-02 12:30:32,2008-09-09 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-31 00:00:00,2008-11-01 00:00:00,2009-08-31 00:00:00,"FRUGE' AQUAFARMS, INC.",P.O. BOX 393,7172 CHURCH POINT HWY,BRANCH,LA,70516,"KELLY J. COUCH, CONSULTANT",231 PECAN AVE,,NEW ROADS,LA,70760,GENERAL FARMWORKER,10.0,8.41,HR,BRANCH,LA,S
28,C-08253-14739,2008-10-02 12:39:06,2008-09-09 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-31 00:00:00,2008-11-01 00:00:00,2009-08-31 00:00:00,"LAMM BROTHERS, LLC. % BRANT LAMM",306 HORSESHOE DRIVE,,CROWLEY,LA,70526,"KELLY J. COUCH, CONSULTANT",231 PECAN AVE,,NEW ROADS,LA,70760,"FARMWORKER, RICE",8.0,8.41,HR,MORSE,LA,S
29,C-08260-14790,2008-10-02 12:40:27,2008-09-16 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-07-15 00:00:00,2008-11-01 00:00:00,2009-07-15 00:00:00,"SUNNY SOUTH PACKING COMPANY, INC.",218 S. POLK AVENUE,,ARCADIA,FL,34266,WALTER KATES,FLORIDA FRUIT & VEGETABLE ASSOCIATION,"800 TRAFALGAR CT., STE. 200",MAITLAND,FL,32751,"HARVEST WORKER, FRUIT",39.0,8.82,HR,ARCADIA,FL,S
30,C-08246-14667,2008-10-02 12:46:22,2008-09-02 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-09-01 00:00:00,2008-11-01 00:00:00,2009-09-01 00:00:00,"ROBERT FLOYED, LLC",1973 LAMAR ROAD,,VILLE PLATTE,LA,70586,LINDA WHITE AND ASSOC.,20791 E. RAILROAD AVE.,,LIVINGSTON,LA,70754,FARM WORKER,15.0,8.41,HR,VILLE PLATTE,LA,S
31,C-08226-14528,2008-10-02 12:55:47,2008-08-26 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-31 00:00:00,2008-11-01 00:00:00,2009-08-31 00:00:00,"MOUNTAIN AVENUE BEES, INC.",7178 CASCADE AVENUE,,OAK HILLS,CA,92344,MICHEL OTTO,714 SOUTH MAIN STREET,STE #1,ABERDEEN,SD,57401,BEE WORKER,8.0,10.5,HR,FONTANA,CA,S
32,C-08247-14677,2008-10-02 12:56:26,2008-09-03 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-06-15 00:00:00,2008-11-01 00:00:00,2009-06-15 00:00:00,"DESOTO HARVESTING, INC.",1518 NW EUCALYPTUS AVE,,ARCADIA,FL,34266,,,,,,,CITRUS FRUIT PICKER,71.0,8.82,HR,ARCADIA,FL,S
33,C-08253-14742,2008-10-02 13:09:21,2008-09-08 00:00:00,Certified - Full,2008-10-23 00:00:00,2009-05-31 00:00:00,2008-10-23 00:00:00,2009-05-31 00:00:00,BUSTERS TREE FARM,HWY 27 & FM 154 CO 13,,KRESS,TX,79052,DENNY L. LYNES/ACTION VISA ASSISTANCE,P.O. BOX 363,,WYLIE,TX,75098,TREE FARM LABORER,9.0,9.02,HR,KRESS,TX,S
34,C-08234-14583,2008-10-02 13:29:27,2008-09-02 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-02-15 00:00:00,2008-11-01 00:00:00,2009-02-15 00:00:00,ROBIN VCULEK FARM,1109 SOUTH 7 STREET,,OAKES,ND,58474,MICHEL OTTO,714 SOUTH MAIN STREET,STE 1,ABERDEEN,SD,57401,"FARMWORKER, GENERAL I",2.0,9.9,HR,OAKES,ND,S
35,C-08182-09832,2008-10-02 13:54:03,2008-06-30 00:00:00,Denied,2008-08-30 00:00:00,2008-12-31 00:00:00,,,ZAMORA HARVESTING INC.,31132 SOUTH COVARRUBIAS RD.,,LAFERIA,TX,78559,JON P. CLANCY,NORTH AMERICAN LABOR SERVICE INC,3900 RED HILL RD.,VANCLEAVE,MS,39565,HARVEST WORKER,,9.02,HR,LAFERIA,TX,S
36,C-08249-14712,2008-10-02 13:57:35,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-15 00:00:00,2008-11-01 00:00:00,2009-08-15 00:00:00,BILL G. ROSE,PO BOX 784,,PARK VALLEY,UT,84325,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,FARM WORKER LIVESTOCK,1.0,875.0,BI,PARK VALLEY,UT,S
37,C-08249-14715,2008-10-02 13:59:35,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,THOMAS GARDNER,P.O.BOX 187,,PARAGONAH,UT,84760,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,SHEEPHERDER,3.0,750.0,MTH,PARAGONAH,UT,S
38,C-08249-14726,2008-10-02 14:03:21,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,"GLEN WELLS, COWBOY ENTERPRISES",350 NORTH 700 WEST,,WELLINGTON,UT,84442,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O.BOX 3777,,CASPER,WY,82602,SHEEPHERDER,1.0,750.0,MTH,WELLINGTON,UT,S
39,C-08253-14743,2008-10-02 14:08:18,2008-09-08 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,JOHN MIKKELSEN,55 SOUTH 200 WEST,,FOUNTAIN GREEN,UT,84632,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O.BOX 3777,,CASPER,WY,82602,SHEEPHERDER,2.0,750.0,MTH,FOUNTAIN GRREN,UT,S
40,C-08249-14724,2008-10-02 14:10:45,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,HAROLD SELMAN INC/FRED & LAURA SELMAN,11400 N. 4130 W.,,TREMONTON,UT,84337,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O.BOX 3777,,CASPER,WY,82602,SHEEPHERDER,4.0,750.0,WK,TREMONTON,UT,S
41,C-08249-14722,2008-10-02 14:14:00,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,STEVE OSGUTHORPE/RED PINE L & L,1700 WHITE PINE CANYON RD,,PARK CITY,UT,84060,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,SHEEP HERDER,4.0,750.0,MTH,PARK CITY,UT,S
42,C-08249-14714,2008-10-02 14:15:48,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,GLEAVE LIVESTOCK/STANTON GLEAVE,PO BOX 284,34 S. 400 W.,KINGSTON,UT,84743,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,SHEEPHERDER,3.0,750.0,MTH,KINGSTON,UT,S
43,C-08224-14507,2008-10-02 14:25:49,2008-08-19 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-04-01 00:00:00,2008-11-01 00:00:00,2009-04-01 00:00:00,"LDL CATTLE COMPANY, INC.",36168 138TH STREET,,IPSWICH,SD,57451,MICHEL OTTO,714 SOUTH MAIN STREET,,ABERDEEN,SD,57401,FARM HAND,1.0,9.9,HR,IPSWICH,SD,S
44,C-08231-14553,2008-10-02 14:26:22,2008-08-26 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-07-15 00:00:00,2008-11-01 00:00:00,2009-07-15 00:00:00,TERRA GREENHOUSE,20230 KENRICK AVENUE,,LAKEVILLE,MN,55044,LEISHA COLEMAN,21657 CTY RD 11,,ELBOW LAKE,MN,56531,HORTICULTURAL WORKER I,4.0,10.01,HR,LAKEVILLE,MN,S
45,C-08249-14717,2008-10-02 14:34:47,2008-09-05 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-10-31 00:00:00,2008-11-01 00:00:00,2009-10-31 00:00:00,PHILLIPS BROTHERS FARM & LIVESTOCK/NATHAN & JESSE ,1851 WEST 600 NORTH,,BLACKFOOT,ID,83221,MOUNTAIN PLAINS AGRICULTURAL SERVICE,P.O. BOX 3777,,CASPER,WY,82602,SHEEPHERDER,5.0,750.0,BI,BLACKFOOT,ID,S
46,C-08246-14665,2008-10-02 14:59:36,2008-09-02 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-09-01 00:00:00,2008-11-01 00:00:00,2009-09-01 00:00:00,"LIONEL MOUNIER, JR. FARM",540 ST. MARGARET ROAD,,CHURCH POINT,LA,70525,LINDA WHITE AND ASSOC.,20791 E. RAILROAD AVE.,,LIVINGSTON,LA,70754,LABORER AQUATIC LIFE,16.0,8.41,HR,CHURCH POINT,LA,S
47,C-08253-14748,2008-10-02 15:03:40,2008-09-09 00:00:00,Certified - Full,2008-10-24 00:00:00,2009-08-15 00:00:00,2008-10-24 00:00:00,2009-08-15 00:00:00,"NORTH CAROLINA GROWERS ASSOCIATION, INC. (NCGA)",230 CAMERON AVE.,,VASS,NC,28394,,,,,,,HORTICULTURAL WORKER II,19.0,8.85,HR,VASS,NC,A
48,C-08253-14748,2008-10-02 15:03:40,2008-09-09 00:00:00,Certified - Full,2008-10-24 00:00:00,2009-08-15 00:00:00,2008-10-24 00:00:00,2009-08-15 00:00:00,BRYAN M. WAGONER,9948 KERR CHAPEL ROAD,,GIBSONVILLE,NC,27249,,,,,,,HORTICULTURAL WORKER II,13.0,8.85,HR,GIBSONVILLE,NC,
49,C-08253-14748,2008-10-02 15:03:40,2008-09-09 00:00:00,Certified - Full,2008-10-24 00:00:00,2009-08-15 00:00:00,2008-10-24 00:00:00,2009-08-15 00:00:00,WILLIAM CLARK,2275 HENDERSON MILL,P.O. BOX 71,JONAS RIDGE,NC,28641,,,,,,,HORTICULTURAL WORKER II,6.0,8.85,HR,JONAS RIDGE,NC,
50,C-08247-14681,2008-10-02 15:11:14,2008-09-03 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-06-30 00:00:00,2008-11-01 00:00:00,2009-06-30 00:00:00,"TRIPLE H FARMS, LLC",7642 MAIN ST.,,ST. MARTINSVILLE,LA,70582,"AMIGOS LABOR SOLUTIONS, INC.","3141 HOOD ST., STE. 440",,DALLAS,TX,75109,CRAWFISH LABORER,5.0,8.41,HR,ST. MARTINSVILLE,LA,S
51,C-08247-14682,2008-10-02 15:43:01,2008-09-03 00:00:00,Certified - Full,2008-10-28 00:00:00,2009-08-29 00:00:00,2008-10-28 00:00:00,2009-08-29 00:00:00,CIRCLE J TREE FARM,74 MAGNESS RD,,MCMINNVILLE,TN,37110,"INTERNATIONAL LABOR MANAGEMENT CORP., LABOR CONSUL","SARAH E. FARRELL, VICE PRESIDENT","234 CAMERON AVENUE, PO BOX 630",VASS,NC,28394,HORTICULTURE WORKER,8.0,9.13,HR,MCMINNVILLE,TN,S
52,C-08217-14455,2008-10-02 15:47:43,2008-08-04 00:00:00,Certified - Partial,2008-11-01 00:00:00,2009-04-30 00:00:00,2008-11-01 00:00:00,2009-04-30 00:00:00,"GUTHRIE NURSERY, INC",1825 CREWS SHOP ROAD,,LYNCHBURG,VA,24504,THE LABOR COMPANY / AMANDA WRIGHT,P. O. BOX 1254,"427 MAIN ST., SUITE 102",AMHERST,VA,24521,HORTICULTURAL WORKER I,12.0,8.85,HR,LYNCHBURG,VA,S
53,C-08246-14663,2008-10-02 15:50:42,2008-09-02 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-06-30 00:00:00,2008-11-01 00:00:00,2009-06-30 00:00:00,"CRAWFISH MAGIC FARM, INC",10702 WRIGHT RD,,GUEYDAN,LA,70542,LINDA WHITE AND ASSOC.,20791 E. RAILROAD AVE.,,LIVINGSTON,LA,70754,"LABORER, AQUATIC LIFE",8.0,8.41,HR,GUEYDAN,LA,S
54,C-08221-14493,2008-10-02 15:55:36,2008-08-08 00:00:00,Certified - Full,2008-11-01 00:00:00,2009-08-30 00:00:00,2008-11-01 00:00:00,2009-08-30 00:00:00,BEAR CREEK FISHERIES,900 OLIVE STREET,P. O. BOX 646,MOORHEAD,MS,38761,FLORENE HARDIGREE,DAWSON INTERNATIONAL,609 OAK GROVE ROAD,MENDENHALL,MS,39114,FISH HATCHERY WORKER,10.0,8.41,HR,MOORHEAD,MS,S
55,C-08263-14827,2008-10-02 16:08:35,2008-09-19 00:00:00,Certified - Full,2008-11-03 00:00:00,2009-07-15 00:00:00,2008-11-03 00:00:00,2009-07-15 00:00:00,"ALTA CITRUS, LLC",1110 W. BELL ST.,,AVON PARK,FL,33826,WALTER KATES,FLORIDA FRUIT & VEGETABLE ASSOCIATION,"800 TRAFALGAR CT., STE. 200",MAITLAND,FL,32751,"HARVEST WORKER, FRUIT",139.0,8.82,HR,AVON PARK,FL,S
56,C-08220-14485,2008-10-02 16:50:04,2008-08-07 00:00:00,Denied,2008-11-01 00:00:00,2009-09-30 00:00:00,,,SIMMONS FARM RAISED CATFISH,2628   ERICKSON ROAD,,YAZOO CITY,MS,39194,,,,,,,FISH PROCESSOR,,8.41,HR,YAZOO CITY,MS,S
